Location,Year,Value,rural pop,urban pop,electric_rural,electric_urban
POL,1962,32037.0,51.074,48.926,16362.577379999999,15674.422620000001
POL,1963,33395.0,50.674,49.326,16922.5823,16472.4177
POL,1964,36802.0,50.273,49.727,18501.46946,18300.53054
POL,1965,39716.0,49.874,50.126,19807.95784,19908.042159999997
POL,1966,42984.0,49.474,50.526,21265.90416,21718.09584
POL,1967,46484.0,49.074,50.926,22811.558159999997,23672.441840000003
POL,1968,50369.0,48.674,51.326,24516.607060000002,25852.39294
POL,1969,54497.0,48.274,51.726,26307.88178,28189.118219999997
POL,1970,58558.0,47.875,52.125,28034.6425,30523.3575
POL,1971,63310.0,47.332,52.668,29965.8892,33344.1108
POL,1972,69245.0,46.676,53.324,32320.7962,36924.203799999996
POL,1973,76474.0,46.023,53.977,35195.62902,41278.37098
POL,1974,83191.0,45.371,54.629,37744.58861,45446.411389999994
POL,1975,88180.0,44.72,55.28,39434.096,48745.903999999995
POL,1976,94465.0,44.071,55.929,41631.67015,52833.32985000001
POL,1977,99193.0,43.425,56.575,43074.560249999995,56118.43975
POL,1978,104633.0,42.78,57.22,44761.9974,59871.00260000001
POL,1979,106193.0,42.288,57.712,44906.89584,61286.10416000001
POL,1980,110183.0,41.914,58.086,46182.10262,64000.897379999995
POL,1981,103798.0,41.541,58.459,43118.727179999994,60679.272820000006
POL,1982,106139.0,41.169,58.831,43696.36491,62442.63509
POL,1983,113685.0,40.798,59.202,46381.2063,67303.7937
POL,1984,121799.0,40.427,59.573,49239.681730000004,72559.31827
POL,1985,124337.0,40.058,59.942,49806.91546,74530.08454
POL,1986,126836.0,39.69,60.31,50341.208399999996,76494.7916
POL,1987,131708.0,39.324,60.676,51792.853919999994,79915.14607999999
POL,1988,130877.0,38.957,61.043,50985.75289,79891.24711
POL,1989,131842.0,38.775,61.225,51121.735499999995,80720.26449999999
POL,1990,123410.0,38.73,61.27,47796.693,75613.307
POL,1991,122181.0,38.685,61.315,47265.71985,74915.28014999999
POL,1992,120409.0,38.641,61.359,46527.241689999995,73881.75830999999
POL,1993,121554.0,38.596,61.404,46914.98183999999,74639.01816
POL,1994,122853.0,38.551,61.449,47361.06003,75491.93996999999
POL,1995,127442.0,38.507,61.493,49074.090939999995,78367.90905999999
POL,1996,131195.0,38.462,61.538,50460.2209,80734.77909999999
POL,1997,130309.0,38.417,61.583,50060.80853,80248.19147
POL,1998,130278.0,38.373,61.627,49991.57693999999,80286.42306
POL,1999,129498.0,38.328,61.672,49633.99344,79864.00656
POL,2000,132214.0,38.284,61.716,50616.80776,81597.19224
POL,2001,132666.0,38.239,61.761,50730.151739999994,81935.84826
POL,2002,131374.0,38.213,61.787,50201.94662,81172.05338
POL,2003,138367.0,38.324,61.676,53027.76908,85339.23092
POL,2004,140789.0,38.436,61.564,54113.660039999995,86675.33996
